Algoritmo,Tamaño,Distribucion,Replica,Tiempo_ms,Memoria_MB
MergeSort,1000,inversa,27,3.8385999996535247,0.019073486328125
QuickSort,1000,inversa,28,2.671899999768357,0.0238494873046875
MergeSort,1000,inversa,28,2.640400000018417,0.019073486328125
QuickSort,1000,inversa,29,3.301599999758764,0.0238494873046875
MergeSort,1000,inversa,29,2.7002999995602295,0.019073486328125
QuickSort,1000,inversa,30,3.311000000394415,0.0238494873046875
MergeSort,1000,inversa,30,6.016100000124425,0.019073486328125
QuickSort,10000,aleatoria,1,39.97470000103931,0.2934722900390625
MergeSort,10000,aleatoria,1,45.48699999941164,0.16097259521484375
QuickSort,10000,aleatoria,2,41.19830000126967,0.38851165771484375
MergeSort,10000,aleatoria,2,46.89700000017183,0.16095733642578125
QuickSort,10000,aleatoria,3,42.63800000080664,0.3989715576171875
MergeSort,10000,aleatoria,3,43.2898999988538,0.16095733642578125
QuickSort,10000,aleatoria,4,38.9562999989721,0.32323455810546875
MergeSort,10000,aleatoria,4,45.320499999434105,0.16095733642578125
QuickSort,10000,aleatoria,5,37.68859999945562,0.34825897216796875
MergeSort,10000,aleatoria,5,39.922300000398536,0.16097259521484375
QuickSort,10000,aleatoria,6,35.31670000120357,0.341827392578125
MergeSort,10000,aleatoria,6,40.67690000010771,0.1609649658203125
QuickSort,10000,aleatoria,7,33.075899998948444,0.3550872802734375
MergeSort,10000,aleatoria,7,41.91309999987425,0.16095733642578125
QuickSort,10000,aleatoria,8,41.1960999990697,0.29290008544921875
MergeSort,10000,aleatoria,8,35.86399999949208,0.16095733642578125
QuickSort,10000,aleatoria,9,34.602100000483915,0.42055511474609375
MergeSort,10000,aleatoria,9,48.03369999899587,0.16095733642578125
QuickSort,10000,aleatoria,10,46.16290000012668,0.2972564697265625
MergeSort,10000,aleatoria,10,79.76759999837668,0.1609649658203125
QuickSort,10000,aleatoria,11,68.61790000039036,0.3253021240234375
MergeSort,10000,aleatoria,11,46.23859999992419,0.1609649658203125
QuickSort,10000,aleatoria,12,42.65539999869361,0.514129638671875
MergeSort,10000,aleatoria,12,44.60610000023735,0.16095733642578125
QuickSort,10000,aleatoria,13,37.73409999848809,0.2804107666015625
MergeSort,10000,aleatoria,13,41.15799999999581,0.1609649658203125
QuickSort,10000,aleatoria,14,42.99370000080671,0.35530853271484375
MergeSort,10000,aleatoria,14,37.30079999877489,0.1609649658203125
QuickSort,10000,aleatoria,15,38.11620000124094,0.30344390869140625
MergeSort,10000,aleatoria,15,47.2397000012279,0.16095733642578125
QuickSort,10000,aleatoria,16,37.043500000436325,0.29425811767578125
MergeSort,10000,aleatoria,16,38.144500000271364,0.16097259521484375
QuickSort,10000,aleatoria,17,32.439200000226265,0.27300262451171875
MergeSort,10000,aleatoria,17,43.13399999955436,0.16095733642578125
QuickSort,10000,aleatoria,18,35.15100000004168,0.3030242919921875
MergeSort,10000,aleatoria,18,42.133700000704266,0.16095733642578125
QuickSort,10000,aleatoria,19,32.60020000016084,0.331298828125
MergeSort,10000,aleatoria,19,45.67459999998391,0.16095733642578125
QuickSort,10000,aleatoria,20,36.814900000536,0.3204193115234375
MergeSort,10000,aleatoria,20,39.72079999948619,0.16095733642578125
QuickSort,10000,aleatoria,21,39.6376999997301,0.3157196044921875
MergeSort,10000,aleatoria,21,39.07620000063616,0.16097259521484375
QuickSort,10000,aleatoria,22,38.221899998461595,0.35195159912109375
MergeSort,10000,aleatoria,22,46.22830000153044,0.1609649658203125
QuickSort,10000,aleatoria,23,36.82029999981751,0.5533218383789062
MergeSort,10000,aleatoria,23,40.33049999998184,0.16097259521484375
QuickSort,10000,aleatoria,24,31.65369999987888,0.33950042724609375
MergeSort,10000,aleatoria,24,44.91760000018985,0.16095733642578125
QuickSort,10000,aleatoria,25,39.982999998755986,0.3227996826171875
MergeSort,10000,aleatoria,25,45.08460000033665,0.1609649658203125
QuickSort,10000,aleatoria,26,37.299900001016795,0.26769256591796875
MergeSort,10000,aleatoria,26,40.852000000086264,0.16097259521484375
QuickSort,10000,aleatoria,27,33.879099999467144,0.33440399169921875
MergeSort,10000,aleatoria,27,40.10480000033567,0.16095733642578125
QuickSort,10000,aleatoria,28,40.370199998505996,0.4086456298828125
MergeSort,10000,aleatoria,28,42.489699999350705,0.160980224609375
QuickSort,10000,aleatoria,29,34.59619999921415,0.33698272705078125
MergeSort,10000,aleatoria,29,41.66980000081821,0.16095733642578125
QuickSort,10000,aleatoria,30,36.04300000006333,0.40378570556640625
MergeSort,10000,aleatoria,30,42.44829999879585,0.16095733642578125
QuickSort,10000,ordenada,1,26.72270000039134,0.237884521484375
MergeSort,10000,ordenada,1,39.53659999933734,0.19073486328125
QuickSort,10000,ordenada,2,25.446599998758757,0.237884521484375
MergeSort,10000,ordenada,2,30.888499999491614,0.19073486328125
QuickSort,10000,ordenada,3,25.84010000100534,0.237884521484375
MergeSort,10000,ordenada,3,41.17059999953199,0.19073486328125
QuickSort,10000,ordenada,4,30.23620000021765,0.237884521484375
MergeSort,10000,ordenada,4,41.54980000021169,0.19073486328125
QuickSort,10000,ordenada,5,28.964700000869925,0.237884521484375
MergeSort,10000,ordenada,5,44.461800000135554,0.19073486328125
QuickSort,10000,ordenada,6,23.09369999966293,0.237884521484375
MergeSort,10000,ordenada,6,34.48900000148569,0.19073486328125
QuickSort,10000,ordenada,7,21.594800000457326,0.237884521484375
MergeSort,10000,ordenada,7,35.39860000091721,0.19073486328125
QuickSort,10000,ordenada,8,21.938300000329036,0.237884521484375
MergeSort,10000,ordenada,8,30.047099999137572,0.19073486328125
QuickSort,10000,ordenada,9,24.571500000092783,0.237884521484375
MergeSort,10000,ordenada,9,31.550400000924128,0.19073486328125
QuickSort,10000,ordenada,10,26.572399998258334,0.237884521484375
MergeSort,10000,ordenada,10,31.145400000241352,0.19073486328125
QuickSort,10000,ordenada,11,22.55200000035984,0.237884521484375
MergeSort,10000,ordenada,11,33.097400000769994,0.19073486328125
QuickSort,10000,ordenada,12,25.265899999794783,0.237884521484375
MergeSort,10000,ordenada,12,35.38959999968938,0.19073486328125
QuickSort,10000,ordenada,13,23.995899999135872,0.237884521484375
MergeSort,10000,ordenada,13,31.578800000716,0.19073486328125
QuickSort,10000,ordenada,14,26.325000000724685,0.237884521484375
MergeSort,10000,ordenada,14,37.89660000074946,0.19073486328125
QuickSort,10000,ordenada,15,29.526199999963865,0.237884521484375
MergeSort,10000,ordenada,15,34.43929999957618,0.19073486328125
QuickSort,10000,ordenada,16,21.290700000463403,0.237884521484375
MergeSort,10000,ordenada,16,37.88220000024012,0.19073486328125
QuickSort,10000,ordenada,17,24.892200000977027,0.237884521484375
MergeSort,10000,ordenada,17,32.219099999565515,0.19073486328125
QuickSort,10000,ordenada,18,26.966700001139543,0.237884521484375
MergeSort,10000,ordenada,18,32.2295000005397,0.19073486328125
QuickSort,10000,ordenada,19,24.546799999370705,0.237884521484375
MergeSort,10000,ordenada,19,33.2682999996905,0.19073486328125
QuickSort,10000,ordenada,20,28.926400000273134,0.237884521484375
MergeSort,10000,ordenada,20,35.49179999936314,0.19073486328125
QuickSort,10000,ordenada,21,26.097100000697537,0.237884521484375
MergeSort,10000,ordenada,21,34.46090000034019,0.19073486328125
QuickSort,10000,ordenada,22,35.51789999983157,0.237884521484375
MergeSort,10000,ordenada,22,33.92650000023423,0.19073486328125
QuickSort,10000,ordenada,23,27.040799999667797,0.237884521484375
MergeSort,10000,ordenada,23,30.70579999985057,0.19073486328125
QuickSort,10000,ordenada,24,22.96070000011241,0.237884521484375
MergeSort,10000,ordenada,24,29.9723999996786,0.19073486328125
QuickSort,10000,ordenada,25,23.463699999410892,0.237884521484375
MergeSort,10000,ordenada,25,35.301100000651786,0.19073486328125
QuickSort,10000,ordenada,26,23.83209999970859,0.237884521484375
MergeSort,10000,ordenada,26,29.222900000604568,0.19073486328125
QuickSort,10000,ordenada,27,28.692100000625942,0.237884521484375
MergeSort,10000,ordenada,27,28.46739999949932,0.19073486328125
QuickSort,10000,ordenada,28,25.006800000483054,0.237884521484375
MergeSort,10000,ordenada,28,29.38679999897431,0.19073486328125
QuickSort,10000,ordenada,29,24.70999999968626,0.237884521484375
MergeSort,10000,ordenada,29,31.42160000061267,0.19073486328125
QuickSort,10000,ordenada,30,23.16149999933259,0.237884521484375
MergeSort,10000,ordenada,30,34.06179999910819,0.19073486328125
QuickSort,10000,inversa,1,28.632700001253397,0.23798370361328125
MergeSort,10000,inversa,1,34.514899998612236,0.19073486328125
QuickSort,10000,inversa,2,27.32079999987036,0.23798370361328125
MergeSort,10000,inversa,2,38.29140000016196,0.19073486328125
QuickSort,10000,inversa,3,26.850299998841365,0.23798370361328125
MergeSort,10000,inversa,3,32.23289999914414,0.19073486328125
QuickSort,10000,inversa,4,24.322100000063074,0.23798370361328125
MergeSort,10000,inversa,4,29.17639999941457,0.19073486328125
QuickSort,10000,inversa,5,25.27860000009241,0.23798370361328125
MergeSort,10000,inversa,5,37.51910000028147,0.19073486328125
QuickSort,10000,inversa,6,24.569100000007893,0.23798370361328125
MergeSort,10000,inversa,6,40.04270000041288,0.19073486328125
QuickSort,10000,inversa,7,29.41589999863936,0.23798370361328125
MergeSort,10000,inversa,7,32.983700000841054,0.19073486328125
QuickSort,10000,inversa,8,24.079900000288035,0.23798370361328125
MergeSort,10000,inversa,8,32.92860000146902,0.19073486328125
QuickSort,10000,inversa,9,24.203100001614075,0.23798370361328125
MergeSort,10000,inversa,9,33.27979999994568,0.19073486328125
QuickSort,10000,inversa,10,25.974899999710033,0.23798370361328125
MergeSort,10000,inversa,10,34.71640000134357,0.19073486328125
QuickSort,10000,inversa,11,25.709900000947528,0.23798370361328125
MergeSort,10000,inversa,11,31.863100000919076,0.19073486328125
QuickSort,10000,inversa,12,26.67910000127449,0.23798370361328125
MergeSort,10000,inversa,12,30.073399999309913,0.19073486328125
